       Time_s           01           02           03           04           05
   2.8800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.9100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.9400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.9700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.0000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.0400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.0800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.1200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.1600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2003E+00
   3.2000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.2400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.2800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.3200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.3600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.4000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2003E+00
   3.4400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2004E+00
   3.4800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2004E+00
   3.5200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2004E+00
   3.5600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2004E+00
   3.6000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3627E-03   5.2004E+00
   3.6400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.6800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.7200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.7600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.8000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.8400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2004E+00
   3.8800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2005E+00
   3.9200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2005E+00
   3.9600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2005E+00
   4.0000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3628E-03   5.2005E+00
   4.0500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
   4.1000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
   4.1500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
